arm,phase,split,n_cycles,top_n,cagr_baseline,cagr_arm_cost_adj,mdd_baseline,mdd_arm_cost_adj,sharpe_baseline,sharpe_arm_cost_adj,cvar5_baseline,cvar5_arm,cvar10_baseline,cvar10_arm,gate_activation_rate_mean,n_bloqueados_mean,churn_evitado_rate_mean,n_reentrants_baseline_mean,arm_catches_reentry_mean,recidiva_avoidance_rate_mean
B_plus_C,0,TRAIN,106,20,-0.16163478856478197,-0.13140167285092808,-0.6804654068301333,-0.6968649423789193,-1.6491470173703702,-1.2324818963745268,-0.15135741582972542,-0.17222529342206516,-0.13212380728708742,-0.14180663914507516,0.10896226415094339,2.1792452830188678,0.16477987421383647,1.5,0.25471698113207547,0.12957957957957958
B_plus_C,1,TRAIN,106,20,-0.06468901439598707,-0.06667141620021555,-0.5908104256535862,-0.5841624755791439,-0.6294573290713503,-0.6548266419270588,-0.15477363167471384,-0.14549635997191737,-0.12222474197620857,-0.12139703876096969,0.1089622641509434,2.1792452830188678,0.12981703830760435,1.5660377358490567,0.2358490566037736,0.13376623376623376
B_plus_C,2,TRAIN,106,20,-0.16588143170359115,-0.12218762576931541,-0.6222430864895563,-0.6019562995497498,-1.626677667817844,-1.1038909320861843,-0.18647976315102774,-0.18199130367331282,-0.15225201857871898,-0.1447910428453749,0.10943396226415095,2.188679245283019,0.1321898227558605,1.6320754716981132,0.2169811320754717,0.11371366728509584
B_plus_C,3,TRAIN,106,20,-0.1938073585855149,-0.08565187924869466,-0.6196241022264195,-0.5398820400469848,-1.9977388704424257,-0.8132381204769232,-0.18345416234587975,-0.1672715957127379,-0.14392484714399684,-0.13315271869217138,0.1179245283018868,2.358490566037736,0.10121293800539083,1.6226415094339623,0.2641509433962264,0.09035409035409035
B_plus_C,4,TRAIN,106,20,-0.20390870443133713,-0.07202445327035123,-0.637262396667307,-0.5534109432988736,-1.8124157949287012,-0.5554664974044301,-0.2043210046802896,-0.19067885822197816,-0.1597293545050736,-0.14807479931091994,0.1221698113207547,2.443396226415094,0.11176999101527405,1.7830188679245282,0.32075471698113206,0.13543474069789857
B_plus_C,5,TRAIN,106,20,-0.07886484606818289,-0.050110745212989194,-0.5634996918948562,-0.5813273459020705,-0.6566770256776172,-0.391953209818203,-0.19031856877757938,-0.19429861139749374,-0.15072799871472342,-0.14977665947906546,0.12452830188679247,2.490566037735849,0.10277777777777777,1.7547169811320755,0.25471698113207547,0.06361788617886178
B_plus_C,6,TRAIN,106,20,-0.14699408293987914,-0.10985562405864457,-0.6421698244416336,-0.6415163651324315,-1.2402555285285506,-0.8486843859245433,-0.2035919191619122,-0.2137157038844932,-0.15878740199126634,-0.1632516914013708,0.1207547169811321,2.4150943396226414,0.10653638814016173,1.8867924528301887,0.25471698113207547,0.08283128636069813
B_plus_C,7,TRAIN,106,20,-0.0848328636375103,-0.06069685016370985,-0.564103935647563,-0.6110773700087554,-0.7318365907439929,-0.5192158759175206,-0.1840867124208695,-0.19207705812147569,-0.14313879884410904,-0.1450915460723994,0.12783018867924528,2.556603773584906,0.14949971412235563,1.8867924528301887,0.330188679245283,0.1429284441049147
B_plus_C,8,TRAIN,106,20,-0.14534581041585592,-0.11133906582565212,-0.5726635573571857,-0.5858164938598297,-1.3901768284734841,-1.0200069361747155,-0.16769754983533683,-0.1720145311623693,-0.13285947593770425,-0.13307477326150804,0.1240566037735849,2.481132075471698,0.12886343216531895,1.9150943396226414,0.33962264150943394,0.1785892968819798
B_plus_C,9,TRAIN,105,20,-0.04525993340830603,-0.0717555751057316,-0.586917341307206,-0.6179123281739649,-0.4147026615045923,-0.6395296287254945,-0.16714040468435634,-0.1889779981653187,-0.13535456822407146,-0.14627172920719733,0.11761904761904764,2.3523809523809525,0.14312925170068028,1.542857142857143,0.2857142857142857,0.14518779342723004
Baseline,0,TRAIN,106,20,-0.16163478856478197,-0.11919618798766252,-0.6804654068301333,-0.6720834244263302,-1.6491470173703702,-1.1421398551684177,-0.15135741582972542,-0.16015784464729213,-0.13212380728708742,-0.13471000073762152,0.07405660377358492,1.4811320754716981,0.054245283018867926,1.5,0.1320754716981132,0.0701951951951952
Baseline,1,TRAIN,106,20,-0.06468901439598707,-0.07024678094853487,-0.5908104256535862,-0.5821364079427618,-0.6294573290713503,-0.694500571127276,-0.15477363167471384,-0.14510992539675274,-0.12222474197620857,-0.120826996148039,0.07924528301886795,1.5849056603773586,0.0410377358490566,1.5660377358490567,0.16037735849056603,0.0896103896103896
Baseline,2,TRAIN,106,20,-0.16588143170359115,-0.12225817593673116,-0.6222430864895563,-0.6104654505479155,-1.626677667817844,-1.0884660540914157,-0.18647976315102774,-0.18214749308211145,-0.15225201857871898,-0.1481040910312626,0.07735849056603773,1.5471698113207548,0.059613656783468104,1.6320754716981132,0.1509433962264151,0.07560296846011132
Baseline,3,TRAIN,106,20,-0.1938073585855149,-0.10779320078706822,-0.6196241022264195,-0.5462698520827483,-1.9977388704424257,-1.0514696100902894,-0.18345416234587975,-0.1662184908512023,-0.14392484714399684,-0.13356343803019352,0.08679245283018869,1.7358490566037736,0.07918308106987353,1.6226415094339623,0.20754716981132076,0.07631257631257632
Baseline,4,TRAIN,106,20,-0.20390870443133713,-0.10458831651080192,-0.637262396667307,-0.5806671698710782,-1.8124157949287012,-0.8093779120506722,-0.2043210046802896,-0.19904052755942803,-0.1597293545050736,-0.15427739877014457,0.08632075471698114,1.7264150943396226,0.044204851752021566,1.7830188679245282,0.2641509433962264,0.11381819934451513
Baseline,5,TRAIN,106,20,-0.07886484606818289,-0.05102576003479509,-0.5634996918948562,-0.5432472649872393,-0.6566770256776172,-0.4062909520933743,-0.19031856877757938,-0.1892288466649368,-0.15072799871472342,-0.147528582094792,0.09433962264150945,1.8867924528301887,0.031064690026954177,1.7547169811320755,0.20754716981132076,0.044918699186991866
Baseline,6,TRAIN,106,20,-0.14699408293987914,-0.10629676935844101,-0.6421698244416336,-0.6493366973117332,-1.2402555285285506,-0.8099669267638588,-0.2035919191619122,-0.21298832920100477,-0.15878740199126634,-0.16326147136214714,0.09009433962264153,1.8018867924528301,0.04424977538185085,1.8867924528301887,0.20754716981132076,0.06885369532428355
Baseline,7,TRAIN,106,20,-0.0848328636375103,-0.08947042004632899,-0.564103935647563,-0.6254930079671244,-0.7318365907439929,-0.7775346079552788,-0.1840867124208695,-0.19291993012832323,-0.14313879884410904,-0.14774165471560874,0.09150943396226417,1.830188679245283,0.07442824471126357,1.8867924528301887,0.29245283018867924,0.11939903234020881
Baseline,8,TRAIN,106,20,-0.14534581041585592,-0.1248597685342292,-0.5726635573571857,-0.5821092778451031,-1.3901768284734841,-1.176280317396344,-0.16769754983533683,-0.1699699787312551,-0.13285947593770425,-0.1320721659867418,0.09150943396226416,1.830188679245283,0.05455974842767296,1.9150943396226414,0.2641509433962264,0.11476815867059768
Baseline,9,TRAIN,105,20,-0.04525993340830603,-0.057482001755705614,-0.586917341307206,-0.5891981071085292,-0.4147026615045923,-0.5112947232469339,-0.16714040468435634,-0.18842802555813806,-0.13535456822407146,-0.14542305661447077,0.08095238095238097,1.619047619047619,0.05962962962962963,1.542857142857143,0.18095238095238095,0.09096244131455399
