sample_group,signal,lookback_L,n,in_top_n_next_rate,became_instavel_1_rate,log_ret_1_mean,log_ret_1_std,became_instavel_3_rate,log_ret_3_mean,log_ret_3_std,became_instavel_5_rate,log_ret_5_mean,log_ret_5_std
CANDIDATE_IGNITION,CAINDO,1,2082,0.24351585014409222,0.08309317963496637,-0.0001800580751717604,0.04183302885349379,0.13304514889529298,-0.0010727942604973632,0.07540261315294527,0.17675312199807877,-0.0044652765698013335,0.08730936833627986
CANDIDATE_IGNITION,ESTAVEL,1,742,0.192722371967655,0.06064690026954178,-0.0005902071896857544,0.03163439149565657,0.10107816711590296,-0.001526736010316642,0.05181913312657005,0.14420485175202155,-0.0013568145444844645,0.0633369791259228
CANDIDATE_IGNITION,SUBINDO,1,3905,0.22535211267605634,0.0973111395646607,4.04363728118875e-06,0.046108959518876926,0.16107554417413572,-0.002206795048090784,0.07027972235195269,0.20358514724711907,-0.0033338349804242886,0.09358795912381974
CANDIDATE_IGNITION,CAINDO,2,1834,0.2300981461286805,0.07251908396946564,-0.0005723276441910088,0.039818748121366154,0.12322791712104689,-0.002497051234645143,0.07636438243285969,0.15976008724100327,-0.0051229332371312735,0.08502698641165174
CANDIDATE_IGNITION,ESTAVEL,2,462,0.21212121212121213,0.03896103896103896,-0.0010030577474293098,0.02751052958189867,0.09307359307359307,-0.005234587217573087,0.04832974921347417,0.1471861471861472,-0.0041235564740475265,0.06550418039280209
CANDIDATE_IGNITION,SUBINDO,2,4425,0.22779661016949151,0.10101694915254238,0.000148513771263581,0.04612635578676656,0.16045197740112993,-0.001150062150535904,0.06932507736189128,0.20497175141242938,-0.0027766595977539795,0.09235422082766341
CANDIDATE_IGNITION,CAINDO,3,1610,0.23167701863354037,0.06273291925465839,1.3490623242346887e-05,0.038420437273631466,0.10372670807453416,-8.226946697931116e-05,0.07830771512614633,0.1409937888198758,-0.002515136546204999,0.10082095391611386
CANDIDATE_IGNITION,ESTAVEL,3,348,0.1896551724137931,0.05747126436781609,-0.00031165720509610933,0.03256728668936427,0.10057471264367816,-0.0025927271682872443,0.05155749843308349,0.13793103448275862,-0.004150731613202992,0.06671003930214582
CANDIDATE_IGNITION,SUBINDO,3,4756,0.2287636669470143,0.10008410428931876,-0.0002003170596201325,0.04563055205566387,0.1631623212783852,-0.002402849308443396,0.06826797885819662,0.20815811606391926,-0.003773673088367556,0.08574186115871069
CANDIDATE_IGNITION,CAINDO,5,1192,0.2273489932885906,0.06543624161073826,-0.00013235074905864084,0.04058822997016233,0.11241610738255034,-0.0030619609297819236,0.08258241206483893,0.14681208053691275,-0.006982300333940768,0.0910114703307037
CANDIDATE_IGNITION,ESTAVEL,5,260,0.23076923076923078,0.038461538461538464,-0.0017838964120377985,0.02948443162979112,0.09615384615384616,-0.006895860996916219,0.05919682969256868,0.1576923076923077,-0.004382681123949525,0.07215703228419423
CANDIDATE_IGNITION,SUBINDO,5,5251,0.2273852599504856,0.09693391734907636,-8.833203937327102e-05,0.04461345378183484,0.1559702913730718,-0.001362924002197578,0.06746754175595172,0.19977147210055227,-0.002713448803641607,0.08895637687091923
CANDIDATE_IGNITION,CAINDO,10,48,0.10416666666666667,0.3125,-0.007752393263153182,0.04076237169146448,0.375,-0.03463229967919608,0.07279778392085208,0.3958333333333333,-0.044972157210320794,0.09760540378682148
CANDIDATE_IGNITION,ESTAVEL,10,40,0.025,0.1,-0.009490915740466847,0.03199686246184427,0.125,-0.017214795691666087,0.055364272106746965,0.2,-0.025194088284190723,0.0731767743693891
CANDIDATE_IGNITION,SUBINDO,10,6585,0.2302201974183751,0.08777524677296887,-2.4999396803568738e-05,0.0434949662885551,0.14472285497342444,-0.0014473162605137182,0.07000922177098258,0.18754745634016703,-0.0028867434848710775,0.08835294723363453
